,values,timeline,talhao_idx,talhao_name,satelite
0,255.0,2016-08-12T00:00:00,0,talhao 0,LC8_30_16D_STK-1
1,255.0,2016-08-28T00:00:00,0,talhao 0,LC8_30_16D_STK-1
2,255.0,2016-09-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
3,956.0,2016-09-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
4,429.0,2016-10-15T00:00:00,0,talhao 0,LC8_30_16D_STK-1
5,328.0,2016-10-31T00:00:00,0,talhao 0,LC8_30_16D_STK-1
6,3476.0,2016-11-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
7,1074.0,2016-12-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
8,4533.0,2016-12-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
9,3901.0,2017-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
10,8481.0,2017-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
11,943.0,2017-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
12,1532.0,2017-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
13,67.0,2017-03-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
14,2177.0,2017-03-22T00:00:00,0,talhao 0,LC8_30_16D_STK-1
15,2560.0,2017-04-07T00:00:00,0,talhao 0,LC8_30_16D_STK-1
16,6863.0,2017-04-23T00:00:00,0,talhao 0,LC8_30_16D_STK-1
17,6262.0,2017-05-09T00:00:00,0,talhao 0,LC8_30_16D_STK-1
18,4951.0,2017-05-25T00:00:00,0,talhao 0,LC8_30_16D_STK-1
19,3570.0,2017-06-10T00:00:00,0,talhao 0,LC8_30_16D_STK-1
20,2986.0,2017-06-26T00:00:00,0,talhao 0,LC8_30_16D_STK-1
21,2433.0,2017-07-12T00:00:00,0,talhao 0,LC8_30_16D_STK-1
22,2299.0,2017-07-28T00:00:00,0,talhao 0,LC8_30_16D_STK-1
23,2215.0,2017-08-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
24,1600.0,2017-08-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
25,1654.0,2017-09-14T00:00:00,0,talhao 0,LC8_30_16D_STK-1
26,1443.0,2017-09-30T00:00:00,0,talhao 0,LC8_30_16D_STK-1
27,1633.0,2017-10-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
28,-142.0,2017-11-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
29,1748.0,2017-11-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
30,2752.0,2017-12-03T00:00:00,0,talhao 0,LC8_30_16D_STK-1
31,2080.0,2017-12-19T00:00:00,0,talhao 0,LC8_30_16D_STK-1
32,8850.0,2018-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
33,102.0,2018-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
34,5316.0,2018-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
35,7982.0,2018-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
36,8332.0,2018-03-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
37,216.0,2018-03-22T00:00:00,0,talhao 0,LC8_30_16D_STK-1
38,3443.0,2018-04-07T00:00:00,0,talhao 0,LC8_30_16D_STK-1
39,2643.0,2018-04-23T00:00:00,0,talhao 0,LC8_30_16D_STK-1
40,3229.0,2018-05-09T00:00:00,0,talhao 0,LC8_30_16D_STK-1
41,1690.0,2018-05-25T00:00:00,0,talhao 0,LC8_30_16D_STK-1
42,2394.0,2018-06-10T00:00:00,0,talhao 0,LC8_30_16D_STK-1
43,2366.0,2018-06-26T00:00:00,0,talhao 0,LC8_30_16D_STK-1
44,2236.0,2018-07-12T00:00:00,0,talhao 0,LC8_30_16D_STK-1
45,2301.0,2018-07-28T00:00:00,0,talhao 0,LC8_30_16D_STK-1
46,1966.0,2018-08-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
47,956.0,2018-08-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
48,148.0,2018-09-14T00:00:00,0,talhao 0,LC8_30_16D_STK-1
49,2381.0,2018-09-30T00:00:00,0,talhao 0,LC8_30_16D_STK-1
50,1942.0,2018-10-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
51,3226.0,2018-11-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
52,3.0,2018-11-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
53,8832.0,2018-12-03T00:00:00,0,talhao 0,LC8_30_16D_STK-1
54,-9999.0,2018-12-19T00:00:00,0,talhao 0,LC8_30_16D_STK-1
55,9461.0,2019-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
56,9015.0,2019-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
57,5399.0,2019-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
58,2056.0,2019-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
59,2141.0,2019-03-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
60,-21.0,2019-03-22T00:00:00,0,talhao 0,LC8_30_16D_STK-1
61,2889.0,2019-04-07T00:00:00,0,talhao 0,LC8_30_16D_STK-1
62,3987.0,2019-04-23T00:00:00,0,talhao 0,LC8_30_16D_STK-1
63,6153.0,2019-05-09T00:00:00,0,talhao 0,LC8_30_16D_STK-1
64,7490.0,2019-05-25T00:00:00,0,talhao 0,LC8_30_16D_STK-1
65,6693.0,2019-06-10T00:00:00,0,talhao 0,LC8_30_16D_STK-1
66,5491.0,2019-06-26T00:00:00,0,talhao 0,LC8_30_16D_STK-1
67,4350.0,2019-07-12T00:00:00,0,talhao 0,LC8_30_16D_STK-1
68,3055.0,2019-07-28T00:00:00,0,talhao 0,LC8_30_16D_STK-1
69,2944.0,2019-08-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
70,2764.0,2019-08-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
71,2338.0,2019-09-14T00:00:00,0,talhao 0,LC8_30_16D_STK-1
72,2643.0,2019-09-30T00:00:00,0,talhao 0,LC8_30_16D_STK-1
73,2645.0,2019-10-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
74,2654.0,2019-11-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
75,2973.0,2019-11-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
76,3300.0,2019-12-03T00:00:00,0,talhao 0,LC8_30_16D_STK-1
77,-9999.0,2019-12-19T00:00:00,0,talhao 0,LC8_30_16D_STK-1
78,-9999.0,2020-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
79,456.0,2020-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
80,9184.0,2020-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
81,4986.0,2020-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
82,343.0,2020-03-05T00:00:00,0,talhao 0,LC8_30_16D_STK-1
83,442.0,2020-03-21T00:00:00,0,talhao 0,LC8_30_16D_STK-1
84,3720.0,2020-04-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
85,4309.0,2020-04-22T00:00:00,0,talhao 0,LC8_30_16D_STK-1
86,7065.0,2020-05-08T00:00:00,0,talhao 0,LC8_30_16D_STK-1
87,511.0,2020-05-24T00:00:00,0,talhao 0,LC8_30_16D_STK-1
88,8837.0,2020-06-09T00:00:00,0,talhao 0,LC8_30_16D_STK-1
89,8639.0,2020-06-25T00:00:00,0,talhao 0,LC8_30_16D_STK-1
90,6609.0,2020-07-11T00:00:00,0,talhao 0,LC8_30_16D_STK-1
91,2548.0,2020-07-27T00:00:00,0,talhao 0,LC8_30_16D_STK-1
92,2242.0,2020-08-12T00:00:00,0,talhao 0,LC8_30_16D_STK-1
93,2357.0,2020-08-28T00:00:00,0,talhao 0,LC8_30_16D_STK-1
94,2341.0,2020-09-13T00:00:00,0,talhao 0,LC8_30_16D_STK-1
95,2436.0,2020-09-29T00:00:00,0,talhao 0,LC8_30_16D_STK-1
96,2275.0,2020-10-15T00:00:00,0,talhao 0,LC8_30_16D_STK-1
97,255.0,2020-10-31T00:00:00,0,talhao 0,LC8_30_16D_STK-1
98,1971.0,2020-11-16T00:00:00,0,talhao 0,LC8_30_16D_STK-1
99,5810.0,2020-12-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
100,9770.0,2020-12-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
101,8927.0,2021-01-01T00:00:00,0,talhao 0,LC8_30_16D_STK-1
102,8697.0,2021-01-17T00:00:00,0,talhao 0,LC8_30_16D_STK-1
103,456.0,2021-02-02T00:00:00,0,talhao 0,LC8_30_16D_STK-1
104,2316.0,2021-02-18T00:00:00,0,talhao 0,LC8_30_16D_STK-1
105,3350.0,2021-03-06T00:00:00,0,talhao 0,LC8_30_16D_STK-1
0,255.0,2016-08-12T00:00:00,1,talhao 1,LC8_30_16D_STK-1
1,255.0,2016-08-28T00:00:00,1,talhao 1,LC8_30_16D_STK-1
2,255.0,2016-09-13T00:00:00,1,talhao 1,LC8_30_16D_STK-1
3,1410.0,2016-09-29T00:00:00,1,talhao 1,LC8_30_16D_STK-1
4,336.0,2016-10-15T00:00:00,1,talhao 1,LC8_30_16D_STK-1
5,477.0,2016-10-31T00:00:00,1,talhao 1,LC8_30_16D_STK-1
6,5271.0,2016-11-16T00:00:00,1,talhao 1,LC8_30_16D_STK-1
7,2600.0,2016-12-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
8,3850.0,2016-12-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
9,5799.0,2017-01-01T00:00:00,1,talhao 1,LC8_30_16D_STK-1
10,8568.0,2017-01-17T00:00:00,1,talhao 1,LC8_30_16D_STK-1
11,1137.0,2017-02-02T00:00:00,1,talhao 1,LC8_30_16D_STK-1
12,416.0,2017-02-18T00:00:00,1,talhao 1,LC8_30_16D_STK-1
