,values,timeline,talhao_idx,talhao_name,satelite
0,1787.0,2017-08-13T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
1,1184.0,2017-08-29T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
2,1207.0,2017-09-14T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
3,1227.0,2017-09-30T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
4,1023.0,2017-10-16T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
5,-243.0,2017-11-01T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
6,3368.0,2017-11-17T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
7,1189.0,2017-12-03T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
8,2180.0,2017-12-19T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
9,4262.0,2018-01-01T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
10,1313.0,2018-01-17T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
11,6207.0,2018-02-02T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
12,8710.0,2018-02-18T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
13,5452.0,2018-03-06T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
14,6846.0,2018-03-22T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
15,3015.0,2018-04-07T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
16,2942.0,2018-04-23T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
17,3181.0,2018-05-09T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
18,2637.0,2018-05-25T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
19,2450.0,2018-06-10T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
20,2292.0,2018-06-26T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
21,2221.0,2018-07-12T00:00:00,0,talhao 0,S2-SEN2COR_10_16D_STK-1
0,2068.0,2017-08-13T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
1,1832.0,2017-08-29T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
2,1922.0,2017-09-14T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
3,1816.0,2017-09-30T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
4,1876.0,2017-10-16T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
5,1980.0,2017-11-01T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
6,43.0,2017-11-17T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
7,2623.0,2017-12-03T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
8,2423.0,2017-12-19T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
9,5182.0,2018-01-01T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
10,1557.0,2018-01-17T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
11,-968.0,2018-02-02T00:00:00,1,talhao 1,S2-SEN2COR_10_16D_STK-1
